id,product_name,serving_size,servings,total_fat,cholesterol,sodium,total_carb,dietary_fiber,sugars,url,price,price_deal,protein,catagory
55,Cal-Organic Organic Baby Carrots,Serv. Size 8.5 pieces (85g),Serv. Size 8.5 pieces (85g),Serv. Size 8.5 pieces (85g),Serv. Size 8.5 pieces (85g),Serv. Size 8.5 pieces (85g),Serv. Size 8.5 pieces (85g),Serv.Size 8.5pieces(85g),Serv. Size 8.5 pieces (85g),https://www.freshdirect.com/pdp.jsp?productId=crt_baby_org&catId=veg_peeled_diced&variantId=srch_rltd,$1.69/ea,nil,Serv. Size 8.5 pieces (85g),Vegetables
56,"Tribe Hummus, Classic",Serv. Size 2 tbsp. (28g),Serv. Size 2 tbsp. (28g),Serv. Size 2 tbsp. (28g),Serv. Size 2 tbsp. (28g),Serv. Size 2 tbsp. (28g),Serv. Size 2 tbsp. (28g),Serv.Size 2tbsp.(28g),Serv. Size 2 tbsp. (28g),https://www.freshdirect.com/pdp.jsp?productId=dai_trib_clashum_01&catId=dai_humm_humm,$2.99/ea $3.99,nil,Serv. Size 2 tbsp. (28g),Dairy
57,Ronnybrook All Natural Creamline Milk,Serv. Size 8 fl oz (240mL),Serv. Size 8 fl oz (240mL),Serv. Size 8 fl oz (240mL),Serv. Size 8 fl oz (240mL),Serv. Size 8 fl oz (240mL),Serv. Size 8 fl oz (240mL),Serv.Size 8floz(240mL),Serv. Size 8 fl oz (240mL),https://www.freshdirect.com/pdp.jsp?productId=dai_rbrook_crmmilk&catId=dai_milk&variantId=srch_rltd,$4.19/ea,nil,Serv. Size 8 fl oz (240mL),Dairy
58,Wild Flounder Fillet,Serv. Size 4 oz raw (113.4g),Serv. Size 4 oz raw (113.4g),Serv. Size 4 oz raw (113.4g),Serv. Size 4 oz raw (113.4g),Serv. Size 4 oz raw (113.4g),Serv. Size 4 oz raw (113.4g),Serv.Size 4ozraw(113.4g),Serv. Size 4 oz raw (113.4g),https://www.freshdirect.com/pdp.jsp?productId=fflt_flndr_flt&catId=fflt&variantId=srch_rltd,$16.99/lb $21.99,nil,Serv. Size 4 oz raw (113.4g),Seafood
59,Ocean Mist Farms Brussels Sprouts,Serv. Size 4 1/2 pieces raw (86g),Serv. Size 4 1/2 pieces raw (86g),Serv. Size 4 1/2 pieces raw (86g),Serv. Size 4 1/2 pieces raw (86g),Serv. Size 4 1/2 pieces raw (86g),Serv. Size 4 1/2 pieces raw (86g),Serv.Size 41/2piecesraw(86g),Serv. Size 4 1/2 pieces raw (86g),https://www.freshdirect.com/pdp.jsp?productId=cab_brusprout&catId=cab_bruss&variantId=srch_rltd,$2.99/ea $3.49 2 for $5.00,2 for $5.00,Serv. Size 4 1/2 pieces raw (86g),Vegetables
60,Boar s Head Yellow American Cheese,Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv.Size 1oz(28g),Serv. Size 1 oz (28g),https://www.freshdirect.com/pdp.jsp?productId=dchs_bh_ylwam&catId=dame&variantId=srch_rltd,$7.99/lb,nil,Serv. Size 1 oz (28g),Deli & Cheese
61,Boar s Head Lower Sodium Deluxe Ham,Serv. Size 2 oz. (56g),Serv. Size 2 oz. (56g),Serv. Size 2 oz. (56g),Serv. Size 2 oz. (56g),nil,Serv. Size 2 oz. (56g),Serv.Size 2oz.(56g),Serv. Size 2 oz. (56g),https://www.freshdirect.com/pdp.jsp?productId=del_bh_lwsd_dlxham&catId=cchm_boil,$10.99/lb,nil,Serv. Size 2 oz. (56g),Deli & Cheese
62,French s Classic Yellow Mustard,Serv. Size 1 tsp. (5g),Serv. Size 1 tsp. (5g),Serv. Size 1 tsp. (5g),Serv. Size 1 tsp. (5g),Serv. Size 1 tsp. (5g),Serv. Size 1 tsp. (5g),Serv.Size 1tsp.(5g),Serv. Size 1 tsp. (5g),https://www.freshdirect.com/pdp.jsp?productId=gro_frenchs_classic_02&catId=gro_condi_musta&variantId=srch_rltd,$1.99/ea,nil,Serv. Size 1 tsp. (5g),Grocery
63,Alexia Organic Yukon Select Fries,Serv. Size 3 oz. (84g /about 24 pieces),Serv. Size 3 oz. (84g /about 24 pieces),Serv. Size 3 oz. (84g /about 24 pieces),Serv. Size 3 oz. (84g /about 24 pieces),Serv. Size 3 oz. (84g /about 24 pieces),Serv. Size 3 oz. (84g /about 24 pieces),Serv.Size 3oz.(84g/about24pieces),Serv. Size 3 oz. (84g /about 24 pieces),https://www.freshdirect.com/pdp.jsp?productId=fro_alex_gldfry&catId=fro_potat_fren&variantId=srch_rltd,$4.49/ea,nil,Serv. Size 3 oz. (84g /about 24 pieces),Frozen
64,FreshDirect Fresh Challah Rolls,Serv. Size 1 roll (78g),Serv. Size 1 roll (78g),Serv. Size 1 roll (78g),Serv. Size 1 roll (78g),Serv. Size 1 roll (78g),Serv. Size 1 roll (78g),Serv.Size 1roll(78g),Serv. Size 1 roll (78g),https://www.freshdirect.com/pdp.jsp?productId=bak_tc_chlrlsfrz&catId=bak_rolls&variantId=srch_rltd,$5.99/ea,nil,Serv. Size 1 roll (78g),Bakery & Pastry
65,"Diet Coke Cola, Cans",Serv. Size 1 can (355mL),Serv. Size 1 can (355mL),Serv. Size 1 can (355mL),Serv. Size 1 can (355mL),Diet Coke is a sugar and calorie-free soft drink with a deliciously crisp taste that gives you a light boost in your busy day.  (from Coca-Cola)ClaimsLow SodiumBrandDiet Coke,Serv. Size 1 can (355mL),Serv.Size 1can(355mL),Serv. Size 1 can (355mL),https://www.freshdirect.com/pdp.jsp?productId=gro_coke_diet_co_01&catId=gro_bever_soda_cola&variantId=srch_rltd,$6.49/ea,nil,Serv. Size 1 can (355mL),Grocery
66,"Diet Coke Cola, Cans",Serv. Size 1 can (355mL),Serv. Size 1 can (355mL),Serv. Size 1 can (355mL),Serv. Size 1 can (355mL),"Diet Coke, also known as Coca-Cola light, is a sugar- and calorie-free soft drink with a deliciously crisp taste that gives you a light boost in your busy day. (from Coca-Cola)ClaimsLow SodiumBrandDiet Coke",Serv. Size 1 can (355mL),Serv.Size 1can(355mL),Serv. Size 1 can (355mL),https://www.freshdirect.com/pdp.jsp?productId=gro_pid_4007520&catId=gro_bever_soda_cola,$16.99/ea,nil,Serv. Size 1 can (355mL),Grocery
67,"Adams Reserve New York Extra Sharp Cheddar Cheese, Naturally Aged Over 12 Months",Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv.Size 1oz(28g),Serv. Size 1 oz (28g),https://www.freshdirect.com/pdp.jsp?productId=del_adamres_ny_ched_slic&catId=dcjk&variantId=srch_rltd,$9.99/lb,nil,Serv. Size 1 oz (28g),Deli & Cheese
68,"FreshDirect Sliced Whole Wheat Pullman Loaf, Frozen",Serv. Size 2 slices (74g),Serv. Size 2 slices (74g),Serv. Size 2 slices (74g),Serv. Size 2 slices (74g),Serv. Size 2 slices (74g),Serv. Size 2 slices (74g),Serv.Size 2slices(74g),Serv. Size 2 slices (74g),https://www.freshdirect.com/pdp.jsp?productId=bak_pull_wwslice&catId=gro_baker_wheat,$4.75/ea,nil,Serv. Size 2 slices (74g),Grocery
69,Claussen Kosher Dill Wholes,Serv. Size 1/3 pickle (28g),Serv. Size 1/3 pickle (28g),Serv. Size 1/3 pickle (28g),Serv. Size 1/3 pickle (28g),Serv. Size 1/3 pickle (28g),Serv. Size 1/3 pickle (28g),Serv.Size 1/3pickle(28g),Serv. Size 1/3 pickle (28g),https://www.freshdirect.com/pdp.jsp?productId=dai_clssn_whle&catId=gro_condi_pickl&variantId=srch_rltd,$4.39/ea,nil,Serv. Size 1/3 pickle (28g),Grocery
70,Alexia Sweet Potato Julienne Fries with Sea Salt,Serv. Size 3 oz. (84g/about 12 pieces),Serv. Size 3 oz. (84g/about 12 pieces),Serv. Size 3 oz. (84g/about 12 pieces),The carefully balanced sweet and savory flavor of sweet potatoes together with a hint of sea salt make this Alexia favorite your new everyday fry. (from Alexia)ClaimsGMO FreeAmerican Heart AssociationTrans Fat FreeCholesterol FreeAll Natural Dairy,Serv. Size 3 oz. (84g/about 12 pieces),Serv. Size 3 oz. (84g/about 12 pieces),Serv.Size 3oz.(84g/about12pieces),Serv. Size 3 oz. (84g/about 12 pieces),https://www.freshdirect.com/pdp.jsp?productId=fro_alex_hanswt&catId=fro_potat_fren&variantId=srch_rltd,$4.49/ea,nil,Serv. Size 3 oz. (84g/about 12 pieces),Frozen
71,Martin s Long Potato Rolls,Serv. Size 1 Roll (53g/1.9 oz),Serv. Size 1 Roll (53g/1.9 oz),Serv. Size 1 Roll (53g/1.9 oz),nil,Serv. Size 1 Roll (53g/1.9 oz),Serv. Size 1 Roll (53g/1.9 oz),Serv.Size 1Roll(53g/1.9oz),Serv. Size 1 Roll (53g/1.9 oz),https://www.freshdirect.com/pdp.jsp?productId=gro_pid_4009872&catId=gro_baker_rolls&variantId=srch_rltd,$3.99/ea,nil,Serv. Size 1 Roll (53g/1.9 oz),Grocery
72,"Diet Coke Cola, Plastic Bottle",Serv. Size 12 fl. oz. (355ml),Serv. Size 12 fl. oz. (355ml),Serv. Size 12 fl. oz. (355ml),Serv. Size 12 fl. oz. (355ml),Serv. Size 12 fl. oz. (355ml),Serv. Size 12 fl. oz. (355ml),Serv.Size 12fl.oz.(355ml),Serv. Size 12 fl. oz. (355ml),https://www.freshdirect.com/pdp.jsp?productId=gro_coke_diet_co_02&catId=gro_bever_soda_cola&variantId=srch_rltd,$1.99/ea,nil,Serv. Size 12 fl. oz. (355ml),Grocery
73,"Kraft Singles, American",Serv. Size 1 slice (21g),Serv. Size 1 slice (21g),Serv. Size 1 slice (21g),Serv. Size 1 slice (21g),Serv. Size 1 slice (21g),Serv. Size 1 slice (21g),Serv.Size 1slice(21g),Serv. Size 1 slice (21g),https://www.freshdirect.com/pdp.jsp?productId=dai_kraft_singles_01&catId=dai_chees_ched&variantId=srch_rltd,$4.69/ea,nil,Serv. Size 1 slice (21g),Dairy
74,Heinz Ketchup Squeezable,Serv. Size 1 tbsp (17g),Serv. Size 1 tbsp (17g),Serv. Size 1 tbsp (17g),Serv. Size 1 tbsp (17g),Serv. Size 1 tbsp (17g),Serv. Size 1 tbsp (17g),Serv.Size 1tbsp(17g),Serv. Size 1 tbsp (17g),https://www.freshdirect.com/pdp.jsp?productId=gro_heinz_ketchup_01&catId=gro_condi_ketch&variantId=srch_rltd,$2.99/ea,nil,Serv. Size 1 tbsp (17g),Grocery
75,Cascadian Farm Crinkle Cut French Fries,Serv. Size 3 oz. (85g),Serv. Size 3 oz. (85g),Serv. Size 3 oz. (85g),Serv. Size 3 oz. (85g),Serv. Size 3 oz. (85g),Serv. Size 3 oz. (85g),Serv.Size 3oz.(85g),Serv. Size 3 oz. (85g),https://www.freshdirect.com/pdp.jsp?productId=fro_cascad_oven_fri_01&catId=fro_potat_fren&variantId=srch_rltd,$3.49/ea,nil,Serv. Size 3 oz. (85g),Frozen
76,King s Hawaiian Savory Butter Rolls,Serv. Size 1 roll (28g),Serv. Size 1 roll (28g),Serv. Size 1 roll (28g),Serv. Size 1 roll (28g),Serv. Size 1 roll (28g),Serv. Size 1 roll (28g),Serv.Size 1roll(28g),Serv. Size 1 roll (28g),https://www.freshdirect.com/pdp.jsp?productId=bak_pid_4651068&catId=gro_baker_rolls&variantId=srch_rltd,$3.99/ea,nil,Serv. Size 1 roll (28g),Grocery
77,"Canada Dry Diet Ginger Ale, Cans",Serv. Size 1 can (0g),Serv. Size 1 can (0g),Serv. Size 1 can (0g),Serv. Size 1 can (0g),nil,Serv. Size 1 can (0g),Serv.Size 1can(0g),Serv. Size 1 can (0g),https://www.freshdirect.com/pdp.jsp?productId=gro_cndry_dtgngr&catId=gro_bever_soda_ginge&variantId=srch_rltd,$2.69/ea,nil,Serv. Size 1 can (0g),Grocery
78,Boar s Head Lower Sodium Muenster,Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),"Exceptionally balanced flavor and sliceability makes Boar s Head Lower Sodium Muenster cheese unique. Great for grilled cheese sandwiches or tuna melts.ClaimsLow SodiumTrans Fat FreeBrandAbout Boar s Head",Serv. Size 1 oz (28g),Serv.Size 1oz(28g),Serv. Size 1 oz (28g),https://www.freshdirect.com/pdp.jsp?productId=del_bh_muen_ls&catId=dlich_mun_prov&variantId=srch_rltd,$8.99/lb,nil,Serv. Size 1 oz (28g),Deli & Cheese
79,"Adams Reserve New York Extra Sharp Cheddar Cheese, Naturally Aged Over 12 Months",Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv. Size 1 oz (28g),Serv.Size 1oz(28g),Serv. Size 1 oz (28g),https://www.freshdirect.com/pdp.jsp?productId=del_adamres_ny_ched_slic&catId=dcjk,$9.99/lb,nil,Serv. Size 1 oz (28g),Deli & Cheese
80,"FreshDirect Sliced Whole Wheat Pullman Loaf, Frozen",Serv. Size 2 slices (74g),Serv. Size 2 slices (74g),Serv. Size 2 slices (74g),Serv. Size 2 slices (74g),Serv. Size 2 slices (74g),Serv. Size 2 slices (74g),Serv.Size 2slices(74g),Serv. Size 2 slices (74g),https://www.freshdirect.com/pdp.jsp?productId=bak_pull_wwslice&catId=gro_baker_wheat,$4.75/ea,nil,Serv. Size 2 slices (74g),Grocery
81,"Adirondack Seltzer Lemon-Lime Carbonated Water, Cans",Serv. Size 1 can (355mL),Serv. Size 1 can (355mL),Serv. Size 1 can (355mL),Serv. Size 1 can (355mL),nil,Serv. Size 1 can (355mL),Serv.Size 1can(355mL),Serv. Size 1 can (355mL),https://www.freshdirect.com/pdp.jsp?productId=gro_adrndk_lm12pk12o&catId=gro_bever_water_flavo,$4.69/ea,nil,Serv. Size 1 can (355mL),Grocery
82,"Adirondack Seltzer Original Seltzer, Cans",Serv. Size 1 can (355ml),Serv. Size 1 can (355ml),Serv. Size 1 can (355ml),Serv. Size 1 can (355ml),nil,Serv. Size 1 can (355ml),Serv.Size 1can(355ml),Serv. Size 1 can (355ml),https://www.freshdirect.com/pdp.jsp?productId=gro_adrndk_org12pk12o&catId=gro_bever_water_spark,$4.69/ea,nil,Serv. Size 1 can (355ml),Grocery
83,"Adirondack Seltzer Original Seltzer, Plastic Bottles",Serv. Size 8 fl oz (240ml),Serv. Size 8 fl oz (240ml),Serv. Size 8 fl oz (240ml),Serv. Size 8 fl oz (240ml),nil,Serv. Size 8 fl oz (240ml),Serv.Size 8floz(240ml),Serv. Size 8 fl oz (240ml),https://www.freshdirect.com/pdp.jsp?productId=gro_adrndk_org12pk1l&catId=gro_bever_water_spark,$6.99/cs,nil,Serv. Size 8 fl oz (240ml),Grocery
84,"Aidells All Natural Smoked Chicken Sausage, Chicken and Apple (Fully Cooked)",Serv. Size 1 link (85g),Serv. Size 1 link (85g),Serv. Size 1 link (85g),Serv. Size 1 link (85g),Serv. Size 1 link (85g),Serv. Size 1 link (85g),Serv.Size 1link(85g),Serv. Size 1 link (85g),https://www.freshdirect.com/pdp.jsp?productId=dai_aidlls_ssg_4&catId=dai_packa_saus,$6.99/ea,nil,Serv. Size 1 link (85g),Dairy
